STATE CLIMATE OFFICE OF NORTH CAROLINA,
10/4/2018 5:53,
10/4/2018 6:53,
10/4/2018 7:53,
10/4/2018 8:53,
10/4/2018 9:53,
10/4/2018 10:53,
10/4/2018 11:53,
10/4/2018 12:53,
10/4/2018 13:53,
10/4/2018 14:53,
10/4/2018 15:53,
10/4/2018 16:53,
10/4/2018 17:53,
10/4/2018 18:53,
10/4/2018 19:53,
10/4/2018 20:53,
10/4/2018 21:53,
10/4/2018 22:53,
10/4/2018 23:53,
10/5/2018 0:53,
10/5/2018 1:53,
10/5/2018 2:53,
10/5/2018 3:53,0.0001
10/5/2018 4:53,
10/5/2018 5:53,
10/5/2018 6:53,
10/5/2018 7:53,
10/5/2018 8:53,
10/5/2018 9:53,
10/5/2018 10:53,
10/5/2018 11:53,
10/5/2018 12:53,
10/5/2018 13:53,
10/5/2018 14:53,
10/5/2018 15:53,
10/5/2018 16:53,
10/5/2018 17:53,0.0001
10/5/2018 18:53,0.04
10/5/2018 19:53,
10/5/2018 20:53,
10/5/2018 21:53,
10/5/2018 22:53,
10/5/2018 23:53,
10/6/2018 0:53,
10/6/2018 1:53,
10/6/2018 2:53,
10/6/2018 3:53,
10/6/2018 4:53,
10/6/2018 5:53,
10/6/2018 6:53,
10/6/2018 7:53,
10/6/2018 8:53,
10/6/2018 9:53,
10/6/2018 10:53,
10/6/2018 11:53,
10/6/2018 12:53,
10/6/2018 13:53,
10/6/2018 14:53,
10/6/2018 15:53,
10/6/2018 16:53,
10/6/2018 17:53,
10/6/2018 18:53,
10/6/2018 19:53,
10/6/2018 20:53,
10/6/2018 21:53,
10/6/2018 22:53,
10/6/2018 23:53,
10/7/2018 0:53,
10/7/2018 1:53,
10/7/2018 2:53,
10/7/2018 3:53,
10/7/2018 4:53,
10/7/2018 5:53,
10/7/2018 6:53,
10/7/2018 7:53,
10/7/2018 8:53,
10/7/2018 9:53,
10/7/2018 10:53,
10/7/2018 11:53,
10/7/2018 12:53,
10/7/2018 13:53,
10/7/2018 14:53,
10/7/2018 15:53,
10/7/2018 16:53,
10/7/2018 17:53,
10/7/2018 18:53,
10/7/2018 19:53,
10/7/2018 20:53,
10/7/2018 21:53,
10/7/2018 22:53,
10/7/2018 23:53,
10/8/2018 0:53,
10/8/2018 1:53,
10/8/2018 2:53,
10/8/2018 3:53,
10/8/2018 4:53,
10/8/2018 5:53,
10/8/2018 6:53,
10/8/2018 7:53,
10/8/2018 8:53,
10/8/2018 9:53,
10/8/2018 10:53,
10/8/2018 11:53,
10/8/2018 12:53,
10/8/2018 13:53,
10/8/2018 14:53,
10/8/2018 15:53,
10/8/2018 16:53,
10/8/2018 17:53,
10/8/2018 18:53,
10/8/2018 19:53,
10/8/2018 20:53,
10/8/2018 21:53,
10/8/2018 22:53,
10/8/2018 23:53,
10/9/2018 0:53,
10/9/2018 1:53,
10/9/2018 2:53,
10/9/2018 3:53,
10/9/2018 4:53,
10/9/2018 5:53,
10/9/2018 6:53,
10/9/2018 7:53,
10/9/2018 8:53,
10/9/2018 9:53,
10/9/2018 10:53,
10/9/2018 11:53,
10/9/2018 12:53,0.02
10/9/2018 13:53,
10/9/2018 14:53,0.0001
10/9/2018 15:53,
10/9/2018 16:53,
10/9/2018 17:53,
10/9/2018 18:53,
10/9/2018 19:53,
10/9/2018 20:53,
10/9/2018 21:53,
10/9/2018 22:53,
10/9/2018 23:53,
10/10/2018 0:53,
10/10/2018 1:53,
10/10/2018 2:53,
10/10/2018 3:53,
10/10/2018 4:53,
10/10/2018 5:53,
10/10/2018 6:53,
10/10/2018 7:53,
10/10/2018 8:53,
10/10/2018 9:53,
10/10/2018 10:53,
10/10/2018 11:53,
10/10/2018 12:53,
10/10/2018 13:53,
10/10/2018 14:53,
10/10/2018 15:53,
10/10/2018 16:53,
10/10/2018 17:53,
10/10/2018 18:53,
10/10/2018 19:53,
10/10/2018 20:53,0.01
10/10/2018 21:53,0.0001
10/10/2018 22:53,
10/10/2018 23:53,0.0001
10/11/2018 0:53,0.12
10/11/2018 1:53,
10/11/2018 2:53,
10/11/2018 3:53,
10/11/2018 4:53,
10/11/2018 5:53,
10/11/2018 6:53,
10/11/2018 7:53,
10/11/2018 8:53,
10/11/2018 9:53,0.01
10/11/2018 10:53,0.0001
10/11/2018 11:53,0.01
10/11/2018 12:53,0.01
10/11/2018 13:53,0.01
10/11/2018 14:53,0.19
10/11/2018 15:53,0.33
10/11/2018 16:53,0.03
10/11/2018 17:53,0.02
10/11/2018 18:53,0.0001
10/11/2018 19:53,0.04
10/11/2018 20:53,0.02
10/11/2018 21:53,
10/11/2018 22:53,
10/11/2018 23:53,
10/12/2018 0:53,
10/12/2018 1:53,
10/12/2018 2:53,
10/12/2018 3:53,
10/12/2018 4:53,
10/12/2018 5:53,
10/12/2018 6:53,
10/12/2018 7:53,
10/12/2018 8:53,
10/12/2018 9:53,
10/12/2018 10:53,
10/12/2018 11:53,
10/12/2018 12:53,
10/12/2018 13:53,
10/12/2018 14:53,
10/12/2018 15:53,
10/12/2018 16:53,
10/12/2018 17:53,
10/12/2018 18:53,
10/12/2018 19:53,
10/12/2018 20:53,
10/12/2018 21:53,
10/12/2018 22:53,
10/12/2018 23:53,
10/13/2018 0:53,
10/13/2018 1:53,
10/13/2018 2:53,
10/13/2018 3:53,
10/13/2018 4:53,
10/13/2018 5:53,
10/13/2018 6:53,
10/13/2018 7:53,
10/13/2018 8:53,
10/13/2018 9:53,
10/13/2018 10:53,
10/13/2018 11:53,
10/13/2018 12:53,
10/13/2018 13:53,
10/13/2018 14:53,
10/13/2018 15:53,
10/13/2018 16:53,
10/13/2018 17:53,
10/13/2018 18:53,
10/13/2018 19:53,
10/13/2018 20:53,
10/13/2018 21:53,
10/13/2018 22:53,
10/13/2018 23:53,
10/14/2018 0:53,
10/14/2018 1:53,
10/14/2018 2:53,
10/14/2018 3:53,
10/14/2018 4:53,
10/14/2018 5:53,
10/14/2018 6:53,
10/14/2018 7:53,
10/14/2018 8:53,
10/14/2018 9:53,
10/14/2018 10:53,
10/14/2018 11:53,0.0001
10/14/2018 12:53,0.0001
10/14/2018 13:53,0.0001
10/14/2018 14:53,0.0001
10/14/2018 15:53,
10/14/2018 16:53,
10/14/2018 17:53,
10/14/2018 18:53,
10/14/2018 19:53,
10/14/2018 20:53,
10/14/2018 21:53,
10/14/2018 22:53,
10/14/2018 23:53,
10/15/2018 0:53,
10/15/2018 1:53,
10/15/2018 2:53,0.0001
10/15/2018 3:53,0.0001
10/15/2018 4:53,
10/15/2018 5:53,
10/15/2018 6:53,
10/15/2018 7:53,
10/15/2018 8:53,0.0001
10/15/2018 9:53,
10/15/2018 10:53,
10/15/2018 11:53,
10/15/2018 12:53,
10/15/2018 13:53,
10/15/2018 14:53,
10/15/2018 15:53,
10/15/2018 16:53,
10/15/2018 17:53,
10/15/2018 18:53,
10/15/2018 19:53,
10/15/2018 20:53,
10/15/2018 21:53,
10/15/2018 22:53,
10/15/2018 23:53,
10/16/2018 0:53,
10/16/2018 1:53,
10/16/2018 2:53,
10/16/2018 3:53,
10/16/2018 4:53,
10/16/2018 5:53,
10/16/2018 6:53,
10/16/2018 7:53,
10/16/2018 8:53,
10/16/2018 9:53,
10/16/2018 10:53,
10/16/2018 11:53,
10/16/2018 12:53,
10/16/2018 13:53,
10/16/2018 14:53,
10/16/2018 15:53,
10/16/2018 16:53,
10/16/2018 17:53,
10/16/2018 18:53,
10/16/2018 19:53,
10/16/2018 20:53,0.0001
10/16/2018 21:53,0.0001
10/16/2018 22:53,0.0001
10/16/2018 23:53,missing
10/17/2018 0:53,
10/17/2018 1:53,
10/17/2018 2:53,
10/17/2018 3:53,0.01
10/17/2018 4:53,0.02
10/17/2018 5:53,
10/17/2018 6:53,
10/17/2018 7:53,
10/17/2018 8:53,
10/17/2018 9:53,
10/17/2018 10:53,
10/17/2018 11:53,
10/17/2018 12:53,
10/17/2018 13:53,
10/17/2018 14:53,
10/17/2018 15:53,
10/17/2018 16:53,
10/17/2018 17:53,
10/17/2018 18:53,
10/17/2018 19:53,
10/17/2018 20:53,
10/17/2018 21:53,
10/17/2018 22:53,
10/17/2018 23:53,
10/18/2018 0:53,
10/18/2018 1:53,
10/18/2018 2:53,
10/18/2018 3:53,
10/18/2018 4:53,
10/18/2018 5:53,
10/18/2018 6:53,
10/18/2018 7:53,
10/18/2018 8:53,
10/18/2018 9:53,
10/18/2018 10:53,
10/18/2018 11:53,
10/18/2018 12:53,
10/18/2018 13:53,
10/18/2018 14:53,
10/18/2018 15:53,
10/18/2018 16:53,
10/18/2018 17:53,
10/18/2018 18:53,
10/18/2018 19:53,
10/18/2018 20:53,
10/18/2018 21:53,
10/18/2018 22:53,
10/18/2018 23:53,
10/19/2018 0:53,
10/19/2018 1:53,
10/19/2018 2:53,
10/19/2018 3:53,
10/19/2018 4:53,
10/19/2018 5:53,
10/19/2018 6:53,
10/19/2018 7:53,
10/19/2018 8:53,
10/19/2018 9:53,
10/19/2018 10:53,
10/19/2018 11:53,
10/19/2018 12:53,
10/19/2018 13:53,
10/19/2018 14:53,
10/19/2018 15:53,
10/19/2018 16:53,
10/19/2018 17:53,
10/19/2018 18:53,
10/19/2018 19:53,
10/19/2018 20:53,
10/19/2018 21:53,
10/19/2018 22:53,
10/19/2018 23:53,
10/20/2018 0:53,
10/20/2018 1:53,0.0001
10/20/2018 2:53,0.03
10/20/2018 3:53,0.02
10/20/2018 4:53,
10/20/2018 5:53,
10/20/2018 6:53,
10/20/2018 7:53,
10/20/2018 8:53,
10/20/2018 9:53,
10/20/2018 10:53,
10/20/2018 11:53,0.01
10/20/2018 12:53,0.04
10/20/2018 13:53,0.0001
10/20/2018 14:53,0.01
10/20/2018 15:53,0.0001
10/20/2018 16:53,
10/20/2018 17:53,
10/20/2018 18:53,
10/20/2018 19:53,
10/20/2018 20:53,
10/20/2018 21:53,
10/20/2018 22:53,
10/20/2018 23:53,
10/21/2018 0:53,
10/21/2018 1:53,
10/21/2018 2:53,
10/21/2018 3:53,
10/21/2018 4:53,
10/21/2018 5:53,
10/21/2018 6:53,
10/21/2018 7:53,
10/21/2018 8:53,
10/21/2018 9:53,
10/21/2018 10:53,
10/21/2018 11:53,
10/21/2018 12:53,
10/21/2018 13:53,
10/21/2018 14:53,
10/21/2018 15:53,
10/21/2018 16:53,
10/21/2018 17:53,
10/21/2018 18:53,
10/21/2018 19:53,
10/21/2018 20:53,
10/21/2018 21:53,
10/21/2018 22:53,
10/21/2018 23:53,
10/22/2018 0:53,
10/22/2018 1:53,
10/22/2018 2:53,
10/22/2018 3:53,
10/22/2018 4:53,
10/22/2018 5:53,
10/22/2018 6:53,
10/22/2018 7:53,
10/22/2018 8:53,
10/22/2018 9:53,
10/22/2018 10:53,
10/22/2018 11:53,
10/22/2018 12:53,
10/22/2018 13:53,
10/22/2018 14:53,
10/22/2018 15:53,
10/22/2018 16:53,
10/22/2018 17:53,
10/22/2018 18:53,
10/22/2018 19:53,
10/22/2018 20:53,
10/22/2018 21:53,
10/22/2018 22:53,
10/22/2018 23:53,
10/23/2018 0:53,
10/23/2018 1:53,
10/23/2018 2:53,
10/23/2018 3:53,
10/23/2018 4:53,
10/23/2018 5:53,
10/23/2018 6:53,
10/23/2018 7:53,
10/23/2018 8:53,
10/23/2018 9:53,
10/23/2018 10:53,
10/23/2018 11:53,
10/23/2018 12:53,
10/23/2018 13:53,
10/23/2018 14:53,
10/23/2018 15:53,
10/23/2018 16:53,
10/23/2018 17:53,
10/23/2018 18:53,
10/23/2018 19:53,
10/23/2018 20:53,
10/23/2018 21:53,
10/23/2018 22:53,
10/23/2018 23:53,
10/24/2018 0:53,
10/24/2018 1:53,
10/24/2018 2:53,
10/24/2018 3:53,
10/24/2018 4:53,
10/24/2018 5:53,
10/24/2018 6:53,
10/24/2018 7:53,
10/24/2018 8:53,
10/24/2018 9:53,
10/24/2018 10:53,
10/24/2018 11:53,
10/24/2018 12:53,
10/24/2018 13:53,
10/24/2018 14:53,
10/24/2018 15:53,
10/24/2018 16:53,
10/24/2018 17:53,
10/24/2018 18:53,
10/24/2018 19:53,
10/24/2018 20:53,
10/24/2018 21:53,
10/24/2018 22:53,
10/24/2018 23:53,
10/25/2018 0:53,
10/25/2018 1:53,
10/25/2018 2:53,
10/25/2018 3:53,
10/25/2018 4:53,
10/25/2018 5:53,
10/25/2018 6:53,
10/25/2018 7:53,
10/25/2018 8:53,
10/25/2018 9:53,
10/25/2018 10:53,
10/25/2018 11:53,
10/25/2018 12:53,
10/25/2018 13:53,
10/25/2018 14:53,
10/25/2018 15:53,
10/25/2018 16:53,
10/25/2018 17:53,
10/25/2018 18:53,
10/25/2018 19:53,
10/25/2018 20:53,
10/25/2018 21:53,
10/25/2018 22:53,
10/25/2018 23:53,
10/26/2018 0:53,
10/26/2018 1:53,
10/26/2018 2:53,
10/26/2018 3:53,
10/26/2018 4:53,
10/26/2018 5:53,
10/26/2018 6:53,0.02
10/26/2018 7:53,0.13
10/26/2018 8:53,0.03
10/26/2018 9:53,0.07
10/26/2018 10:53,0.1
10/26/2018 11:53,0.02
10/26/2018 12:53,0.03
10/26/2018 13:53,0.03
10/26/2018 14:53,0.07
10/26/2018 15:53,0.1
10/26/2018 16:53,0.17
10/26/2018 17:53,0.18
10/26/2018 18:53,0.03
10/26/2018 19:53,0.1
10/26/2018 20:53,0.13
10/26/2018 21:53,0.06
10/26/2018 22:53,0.0001
10/26/2018 23:53,0.0001
10/27/2018 0:53,
10/27/2018 1:53,
10/27/2018 2:53,
10/27/2018 3:53,
10/27/2018 4:53,
10/27/2018 5:53,
10/27/2018 6:53,
10/27/2018 7:53,
10/27/2018 8:53,
10/27/2018 9:53,
10/27/2018 10:53,
10/27/2018 11:53,
10/27/2018 12:53,
10/27/2018 13:53,
10/27/2018 14:53,
10/27/2018 15:53,
10/27/2018 16:53,
10/27/2018 17:53,
10/27/2018 18:53,
10/27/2018 19:53,
10/27/2018 20:53,
10/27/2018 21:53,
10/27/2018 22:53,
10/27/2018 23:53,
10/28/2018 0:53,
10/28/2018 1:53,
10/28/2018 2:53,
10/28/2018 3:53,
10/28/2018 4:53,
10/28/2018 5:53,
10/28/2018 6:53,
10/28/2018 7:53,
10/28/2018 8:53,
10/28/2018 9:53,
10/28/2018 10:53,
10/28/2018 11:53,
10/28/2018 12:53,
10/28/2018 13:53,
10/28/2018 14:53,
10/28/2018 15:53,missing
10/28/2018 16:53,
10/28/2018 17:53,
10/28/2018 18:53,
10/28/2018 19:53,
10/28/2018 20:53,
10/28/2018 21:53,
10/28/2018 22:53,
10/28/2018 23:53,0.0001
10/29/2018 0:53,
10/29/2018 1:53,
10/29/2018 2:53,
10/29/2018 3:53,
10/29/2018 4:53,
10/29/2018 5:53,
10/29/2018 6:53,
10/29/2018 7:53,
10/29/2018 8:53,
10/29/2018 9:53,
10/29/2018 10:53,
10/29/2018 11:53,
10/29/2018 12:53,
10/29/2018 13:53,
10/29/2018 14:53,
10/29/2018 15:53,
10/29/2018 16:53,
10/29/2018 17:53,
10/29/2018 18:53,
10/29/2018 19:53,
10/29/2018 20:53,
10/29/2018 21:53,
10/29/2018 22:53,
10/29/2018 23:53,
10/30/2018 0:53,
10/30/2018 1:53,
10/30/2018 2:53,
10/30/2018 3:53,
10/30/2018 4:53,
10/30/2018 5:53,
10/30/2018 6:53,
10/30/2018 7:53,
10/30/2018 8:53,
10/30/2018 9:53,
10/30/2018 10:53,
10/30/2018 11:53,
10/30/2018 12:53,
10/30/2018 13:53,
10/30/2018 14:53,
10/30/2018 15:53,
10/30/2018 16:53,
10/30/2018 17:53,
10/30/2018 18:53,
10/30/2018 19:53,
10/30/2018 20:53,
10/30/2018 21:53,
10/30/2018 22:53,
10/30/2018 23:53,
10/31/2018 0:53,
10/31/2018 1:53,
10/31/2018 2:53,
10/31/2018 3:53,
10/31/2018 4:53,
10/31/2018 5:53,
10/31/2018 6:53,
10/31/2018 7:53,
10/31/2018 8:53,
10/31/2018 9:53,
10/31/2018 10:53,
10/31/2018 11:53,
10/31/2018 12:53,
10/31/2018 13:53,
10/31/2018 14:53,
10/31/2018 15:53,
10/31/2018 16:53,
10/31/2018 17:53,
10/31/2018 18:53,
10/31/2018 19:53,
10/31/2018 20:53,
10/31/2018 21:53,
10/31/2018 22:53,
10/31/2018 23:53,
11/1/2018 0:53,
11/1/2018 1:53,
11/1/2018 2:53,
11/1/2018 3:53,
11/1/2018 4:53,
11/1/2018 5:53,
11/1/2018 6:53,
11/1/2018 7:53,
11/1/2018 8:53,
11/1/2018 9:53,
11/1/2018 10:53,
11/1/2018 11:53,
11/1/2018 12:53,
11/1/2018 13:53,
11/1/2018 14:53,
11/1/2018 15:53,
11/1/2018 16:53,
11/1/2018 17:53,
11/1/2018 18:53,
11/1/2018 19:53,0.02
11/1/2018 20:53,
11/1/2018 21:53,
11/1/2018 22:53,
11/1/2018 23:53,
11/2/2018 0:53,
11/2/2018 1:53,
11/2/2018 2:53,
11/2/2018 3:53,
11/2/2018 4:53,
11/2/2018 5:53,0.0001
11/2/2018 6:53,0.0001
11/2/2018 7:53,
11/2/2018 8:53,
11/2/2018 9:53,
11/2/2018 10:53,
11/2/2018 11:53,
11/2/2018 12:53,
11/2/2018 13:53,
11/2/2018 14:53,
11/2/2018 15:53,
11/2/2018 16:53,
11/2/2018 17:53,0.0001
11/2/2018 18:53,
11/2/2018 19:53,
11/2/2018 20:53,
11/2/2018 21:53,0.09
11/2/2018 22:53,0.02
11/2/2018 23:53,0.08
11/3/2018 0:53,
11/3/2018 1:53,
11/3/2018 2:53,
11/3/2018 3:53,
11/3/2018 4:53,
11/3/2018 5:53,
11/3/2018 6:53,
11/3/2018 7:53,
11/3/2018 8:53,
11/3/2018 9:53,
11/3/2018 10:53,
11/3/2018 11:53,
11/3/2018 12:53,
11/3/2018 13:53,
11/3/2018 14:53,
11/3/2018 15:53,
11/3/2018 16:53,
11/3/2018 17:53,
11/3/2018 18:53,
11/3/2018 19:53,
11/3/2018 20:53,
11/3/2018 21:53,
11/3/2018 22:53,
11/3/2018 23:53,
11/4/2018 0:53,
11/4/2018 1:53,
11/4/2018 2:53,
11/4/2018 3:53,
11/4/2018 4:53,
11/4/2018 5:53,
11/4/2018 6:53,
11/4/2018 7:53,
11/4/2018 8:53,
11/4/2018 9:53,
11/4/2018 10:53,
11/4/2018 11:53,
11/4/2018 12:53,
11/4/2018 13:53,
11/4/2018 14:53,
11/4/2018 15:53,
11/4/2018 16:53,
11/4/2018 17:53,
11/4/2018 18:53,
11/4/2018 19:53,
11/4/2018 20:53,
11/4/2018 21:53,
11/4/2018 22:53,
11/4/2018 23:53,
11/5/2018 0:53,0.07
11/5/2018 1:53,0.06
11/5/2018 2:53,0.0001
11/5/2018 3:53,0.01
11/5/2018 4:53,
11/5/2018 5:53,
11/5/2018 6:53,0.03
11/5/2018 7:53,0.15
11/5/2018 8:53,0.04
11/5/2018 9:53,0.0001
11/5/2018 10:53,0.0001
11/5/2018 11:53,
11/5/2018 12:53,
11/5/2018 13:53,
11/5/2018 14:53,
11/5/2018 15:53,
11/5/2018 16:53,
11/5/2018 17:53,
11/5/2018 18:53,
11/5/2018 19:53,
11/5/2018 20:53,
11/5/2018 21:53,
11/5/2018 22:53,
11/5/2018 23:53,
11/6/2018 0:53,
11/6/2018 1:53,
11/6/2018 2:53,
11/6/2018 3:53,
11/6/2018 4:53,
11/6/2018 5:53,
11/6/2018 6:53,
11/6/2018 7:53,
11/6/2018 8:53,
11/6/2018 9:53,
11/6/2018 10:53,
11/6/2018 11:53,
11/6/2018 12:53,
11/6/2018 13:53,0.0001
11/6/2018 14:53,
11/6/2018 15:53,0.01
11/6/2018 16:53,0.04
11/6/2018 17:53,0.01
11/6/2018 18:53,
11/6/2018 19:53,
11/6/2018 20:53,
11/6/2018 21:53,
11/6/2018 22:53,
11/6/2018 23:53,
11/7/2018 0:53,
11/7/2018 1:53,
11/7/2018 2:53,
11/7/2018 3:53,
11/7/2018 4:53,
11/7/2018 5:53,
11/7/2018 6:53,
11/7/2018 7:53,
11/7/2018 8:53,
11/7/2018 9:53,
11/7/2018 10:53,
11/7/2018 11:53,
11/7/2018 12:53,
11/7/2018 13:53,
11/7/2018 14:53,
11/7/2018 15:53,
11/7/2018 16:53,
11/7/2018 17:53,
11/7/2018 18:53,
11/7/2018 19:53,
11/7/2018 20:53,
11/7/2018 21:53,
11/7/2018 22:53,
11/7/2018 23:53,
11/8/2018 0:53,
11/8/2018 1:53,0.0001
11/8/2018 2:53,0.01
11/8/2018 3:53,0.01
11/8/2018 4:53,
11/8/2018 5:53,
11/8/2018 6:53,
11/8/2018 7:53,
11/8/2018 8:53,
11/8/2018 9:53,
11/8/2018 10:53,missing
11/8/2018 11:53,
11/8/2018 12:53,
11/8/2018 13:53,
11/8/2018 14:53,
11/8/2018 15:53,
11/8/2018 16:53,
11/8/2018 17:53,
11/8/2018 18:53,
11/8/2018 19:53,
11/8/2018 20:53,
11/8/2018 21:53,
11/8/2018 22:53,
11/8/2018 23:53,
11/9/2018 0:53,
11/9/2018 1:53,
11/9/2018 2:53,
11/9/2018 3:53,
11/9/2018 4:53,0.0001
11/9/2018 5:53,0.0001
11/9/2018 6:53,0.01
11/9/2018 7:53,0.0001
11/9/2018 8:53,0.01
11/9/2018 9:53,0.01
11/9/2018 10:53,0.01
11/9/2018 11:53,0.0001
11/9/2018 12:53,0.0001
11/9/2018 13:53,
11/9/2018 14:53,
11/9/2018 15:53,
11/9/2018 16:53,
11/9/2018 17:53,0.0001
11/9/2018 18:53,0.01
11/9/2018 19:53,0.02
11/9/2018 20:53,
11/9/2018 21:53,
11/9/2018 22:53,
11/9/2018 23:53,
11/10/2018 0:53,
11/10/2018 1:53,
11/10/2018 2:53,
11/10/2018 3:53,
11/10/2018 4:53,
11/10/2018 5:53,
11/10/2018 6:53,
11/10/2018 7:53,
11/10/2018 8:53,
11/10/2018 9:53,
11/10/2018 10:53,
11/10/2018 11:53,
11/10/2018 12:53,
11/10/2018 13:53,
11/10/2018 14:53,
11/10/2018 15:53,
11/10/2018 16:53,
11/10/2018 17:53,
11/10/2018 18:53,
11/10/2018 19:53,
11/10/2018 20:53,
11/10/2018 21:53,
11/10/2018 22:53,
11/10/2018 23:53,
11/11/2018 0:53,
11/11/2018 1:53,
11/11/2018 2:53,
11/11/2018 3:53,
11/11/2018 4:53,
11/11/2018 5:53,
11/11/2018 6:53,
11/11/2018 7:53,
11/11/2018 8:53,
11/11/2018 9:53,
11/11/2018 10:53,
11/11/2018 11:53,
11/11/2018 12:53,
11/11/2018 13:53,
11/11/2018 14:53,
11/11/2018 15:53,
11/11/2018 16:53,
11/11/2018 17:53,
11/11/2018 18:53,
11/11/2018 19:53,
11/11/2018 20:53,
11/11/2018 21:53,
11/11/2018 22:53,
11/11/2018 23:53,
11/12/2018 0:53,
11/12/2018 1:53,
11/12/2018 2:53,
11/12/2018 3:53,
11/12/2018 4:53,
11/12/2018 5:53,
11/12/2018 6:53,
11/12/2018 7:53,
11/12/2018 8:53,
11/12/2018 9:53,
11/12/2018 10:53,
11/12/2018 11:53,0.0001
11/12/2018 12:53,0.0001
11/12/2018 13:53,0.05
11/12/2018 14:53,0.11
11/12/2018 15:53,0.08
11/12/2018 16:53,0.06
11/12/2018 17:53,0.04
11/12/2018 18:53,0.05
11/12/2018 19:53,0.05
11/12/2018 20:53,0.06
11/12/2018 21:53,0.04
11/12/2018 22:53,0.05
11/12/2018 23:53,0.04
11/13/2018 0:53,0.03
11/13/2018 1:53,
11/13/2018 2:53,0.04
11/13/2018 3:53,0.05
11/13/2018 4:53,
11/13/2018 5:53,0.02
11/13/2018 6:53,
11/13/2018 7:53,
11/13/2018 8:53,
11/13/2018 9:53,
11/13/2018 10:53,
11/13/2018 11:53,0.0001
11/13/2018 12:53,0.04
11/13/2018 13:53,0.03
11/13/2018 14:53,0.02
11/13/2018 15:53,0.02
11/13/2018 16:53,0.02
11/13/2018 17:53,0.02
11/13/2018 18:53,0.01
11/13/2018 19:53,0.01
11/13/2018 20:53,0.01
11/13/2018 21:53,0.01
11/13/2018 22:53,0.01
11/13/2018 23:53,0.0001
11/14/2018 0:53,0.01
11/14/2018 1:53,
11/14/2018 2:53,0.01
11/14/2018 3:53,0.0001
11/14/2018 4:53,0.0001
11/14/2018 5:53,0.01
11/14/2018 6:53,
11/14/2018 7:53,
11/14/2018 8:53,
11/14/2018 9:53,
11/14/2018 10:53,
11/14/2018 11:53,0.01
11/14/2018 12:53,0.0001
11/14/2018 13:53,
11/14/2018 14:53,
11/14/2018 15:53,0.0001
11/14/2018 16:53,0.0001
11/14/2018 17:53,
11/14/2018 18:53,
11/14/2018 19:53,
11/14/2018 20:53,
11/14/2018 21:53,0.0001
11/14/2018 22:53,0.0001
11/14/2018 23:53,
11/15/2018 0:53,0.0001
11/15/2018 1:53,0.0001
11/15/2018 2:53,0.0001
11/15/2018 3:53,0.0001
11/15/2018 4:53,0.0001
11/15/2018 5:53,0.01
11/15/2018 6:53,0.0001
11/15/2018 7:53,0.0001
11/15/2018 8:53,0.0001
11/15/2018 9:53,0.0001
11/15/2018 10:53,
11/15/2018 11:53,
11/15/2018 12:53,
11/15/2018 13:53,
11/15/2018 14:53,
11/15/2018 15:53,0.0001
